STATUS,sEXT,sNEU,sAGR,sCON,sOPN,SENTIMENT
excit see seriou that think,4.7,1.55,3.7,4.4,4.9,0.0
lord portion christ trust provid help ever need let,4.7,1.55,3.7,4.4,4.9,0.7184
love broken mean fought hard didnt give ill wrestl oh god jacob wont let go,4.7,1.55,3.7,4.4,4.9,0.4276
think kind nonfunni cosmic joke realli ever defeat prideh find proud humil p good call propnam,4.7,1.55,3.7,4.4,4.9,0.8225
let know deepli trueli oh lord none know complet pray show way perfect want life sing prais let walk love joy peac patienc kind good gentl selfcontrol thing law,4.7,1.55,3.7,4.4,4.9,0.9541
dude im freak engag sweetest angel fianc ever thank lord love woman,4.7,1.55,3.7,4.4,4.9,0.5859
love propnam 0,4.7,1.55,3.7,4.4,4.9,0.6369
anxious attach dont know ask help dont know accept ill drag intestin back dyer thank much,4.7,1.55,3.7,4.4,4.9,-0.3632
hope wasteland faith stone figur hewn blood flow ancient sewer,4.7,1.55,3.7,4.4,4.9,0.6908
cant rememb earth turn slowlyso ill wait light turn lost place cant stop stori ill find way til im onlyspin,4.7,1.55,3.7,4.4,4.9,-0.7195
lord pleas bless time togeth difficult go long without treasur grace life pray bring safe pursu well,4.7,1.55,3.7,4.4,4.9,0.6449
probabl take good long get use think im still shock haha fianc wow fianc pursu pearl great valu,4.7,1.55,3.7,4.4,4.9,0.9042
everlast etern one zealou conqueror creator sustain almightyhow appeal highest pleasur bring alreadi vaniti even defin mission one bring glori utter foolish lift dirti hand sing defil lip,4.7,1.55,3.7,4.4,4.9,0.2732
wait lord morn,4.7,1.55,3.7,4.4,4.9,0.0
understand ridicul excit see fianc must first win lotteri somersault run hundr mile effortlessli wake bird chirp eat superyummi meal addict oxygenthen might get close scratch surfac mayb,4.7,1.55,3.7,4.4,4.9,0.5859
examin 2 cor 135 test see faith work salvat fear trembl god work act accord good purpos phillipian 21213,4.7,1.55,3.7,4.4,4.9,0.5574
goin earlier rounda load god complex point right us lord pleas god pleas bless heart love,4.7,1.55,3.7,4.4,4.9,0.8807
bring semest fun thing learn god know someon alway miss campu though last term without hersigh,4.7,1.55,3.7,4.4,4.9,0.5859
darlingoh simpl thing mani take grant thank lord gift life thank lord propnam,4.7,1.55,3.7,4.4,4.9,0.8555
know lie beyond life alreadi one take away blood cover bone without blood perfect life know im noth,4.7,1.55,3.7,4.4,4.9,-0.4585
darl anymor sad dayslord sustan alway especi much joy 700 mile away love propnam miss,4.7,1.55,3.7,4.4,4.9,0.6486
son holi wratha shine light darkth one walk amongst despairno sign fear heart,4.7,1.55,3.7,4.4,4.9,-0.4939
6am saturday far earli drag one self bedugh god thank morningeven though id like sleep awayit realli beauti morn,4.7,1.55,3.7,4.4,4.9,0.6369
make peopl happi appar realli suck know make us happi measur replic scientif fact dunno strike funni lol lord teach us joy,4.7,1.55,3.7,4.4,4.9,0.4939
dont know work dont know dont know made gave let pleas take let holi desir life boil vapor skin forev burn everlast flame flint face callous knuckl grind teethmi best that got,4.7,1.55,3.7,4.4,4.9,0.6369
believ world burn ground oh well guess gonna find outhow far come lord let us make time wast much time mani thing dont matter worth realli,4.7,1.55,3.7,4.4,4.9,0.0926
life never seem stop chang crazi think colleg almost wow lord pleas guid step life formless yet trace,4.7,1.55,3.7,4.4,4.9,0.6592
dude freak snow yay let play,4.7,1.55,3.7,4.4,4.9,0.4404
gotta feelin woohoothat tonight gonna good night like prayer answer sweetli thing work well thank god,4.7,1.55,3.7,4.4,4.9,0.8779
much say much much littl time 24 hour alreadi small amount time hard without,4.7,1.55,3.7,4.4,4.9,-0.1027
realli take cancer death bring us heart famili realli lord rate itll take come cloud blow mind shake us complac livescomplac daili grind complac justifi selfpiti complac selfcentered itll take show us wrong,4.7,1.55,3.7,4.4,4.9,-0.9201
walk thousand mile grace far could walk like foreverjesu good may prais everi step take alway,4.7,1.55,3.7,4.4,4.9,0.802
believ come end oh well guess gonna pretend ever feel like fiveyearold content cover hisher eye feel safe secur cant see cant see meloli want us stop ignor import thing wont go away ignor promis,4.7,1.55,3.7,4.4,4.9,0.5687
neoplaton think postul one infinit give rise eventu world becom lord forev one may draw life thought essenti creativ may made like form good,4.7,1.55,3.7,4.4,4.9,0.6597
like exceptwher juli dont like anymor,4.7,1.55,3.7,4.4,4.9,0.6124
demand without understand propnam,4.7,1.55,3.7,4.4,4.9,-0.128
ever sinc day born ive decid end let light guid way oh lord great shepherd,4.7,1.55,3.7,4.4,4.9,0.6249
long im aliv id die thank lord love awaken within,4.7,1.55,3.7,4.4,4.9,0.4215
weirdo get littl better everi dayi never knownthat might place peopl like uspropnam,4.7,1.55,3.7,4.4,4.9,0.3818
wilt thou chang world wilt thou chang thyselfc,4.7,1.55,3.7,4.4,4.9,0.0
propnam spice life appar one signatur strength help make life adventur today thank lord make salt light,4.7,1.55,3.7,4.4,4.9,0.8126
screw axl,4.7,1.55,3.7,4.4,4.9,-0.1027
art thou cast oh soul oh yeah darl isnt lord high call inde,4.7,1.55,3.7,4.4,4.9,0.296
thank lord today day three year ago let start make mine amaz woman ever love propnam,4.7,1.55,3.7,4.4,4.9,0.7717
happi valentin day everybodi especi sweet fiance two es propnam make day special hey yall dont take grant hold one love arm id give arm see love right,4.7,1.55,3.7,4.4,4.9,0.9184
though air cold outsid pray warm heart love,4.7,1.55,3.7,4.4,4.9,0.8126
updat profilemuch chang sinc colleg,4.55,2.2,3.3,3.9,3.65,0.0
scouti go doctor,4.55,2.2,3.3,3.9,3.65,0.0
holiday overcrap,4.55,2.2,3.3,3.9,3.65,0.4019
apper owner school decid want make thing complic possibleent new stupidli expens comput program,4.55,2.2,3.3,3.9,3.65,0.0772
happi brithday propnam stadium dog,4.55,2.2,3.3,3.9,3.65,0.0
back atl still foggyluckli work fall place without even anyth,4.55,2.2,3.3,3.9,3.65,0.0
get readi supriz trip mii wish better circumst,4.55,2.2,3.3,3.9,3.65,0.6808
wow noth like lose mac team make cryi would like thank pete ruin game welljurk,4.55,2.2,3.3,3.9,3.65,0.5859
would give left ear abl watch big ten network order thank ruinung game day comcast,4.55,2.2,3.3,3.9,3.65,0.3612
home tri rememb relat witch kid belong witch cousinand crave polish food anoth devolop thought would abl escap countri music north realiti wors,4.55,2.2,3.3,3.9,3.65,-0.6124
even though sister blood traidergo green go nd,4.55,2.2,3.3,3.9,3.65,0.0
slash convert top 2 day leav beach vacat someon seriou asshol,4.55,2.2,3.3,3.9,3.65,-0.0772
break news atlanta zoo old guy long white beard caught tri lure 2 anim exhibit also report arriv larg wooden boat,4.55,2.2,3.3,3.9,3.65,0.0
glad say parent arriv michigan safelyeven thier bag lost,4.55,2.2,3.3,3.9,3.65,0.1779
propnam miami dolphin common make 70000 peopl stand yell jesu christ,4.55,2.2,3.3,3.9,3.65,0.0
world come complet ahol douchebag like propnam make apolgi tour still call girl person say sorri role model kid realt note recess american want work one moment beforei feel feisti today,4.55,2.2,3.3,3.9,3.65,-0.296
one prospect student ask outi 3 yet week crazi,4.55,2.2,3.3,3.9,3.65,0.296
propnam terrifi half deflat mylar balloon outsid condo went walk bark peed grab toss fradi pup,4.55,2.2,3.3,3.9,3.65,0.0
guy next get manipedi tonight remind someon dad would golf withkinda remind home start sing along radio ace base madonna cher hard laugh atlanta,4.55,2.2,3.3,3.9,3.65,0.4939
realiz propnam guy catch predat went msu actual pretti cool bad ass turtleneck,4.55,2.2,3.3,3.9,3.65,0.743
almost weekendonli short hoursi think make,4.55,2.2,3.3,3.9,3.65,0.0
god name happen cnncom,4.55,2.2,3.3,3.9,3.65,0.2732
fell way car morningi hope predictor bad day,4.55,2.2,3.3,3.9,3.65,-0.1531
dangi peopl feel like wing take person wing take cup make smile reason supriz number peopl red wing fan,4.55,2.2,3.3,3.9,3.65,0.765
propnam cant wait dress go trick treat,4.55,2.2,3.3,3.9,3.65,0.3612
think quit possibl msu one team big ten team mani penalti still loseth pizza pizza bowl goal nowand hockey suck big onewhen basketbal start,4.55,2.2,3.3,3.9,3.65,-0.4404
hey atlanta may see work even newssom guy shot foot park lot share probat officei heard rumor shot,4.55,2.2,3.3,3.9,3.65,0.296
push print oncey get one copi dont look like moron bring 6 copi 6 time press print,4.55,2.2,3.3,3.9,3.65,0.1326
think propnam embarass blast glee soundtrack cruse around top downi cant imagin,4.55,2.2,3.3,3.9,3.65,0.7184
mom talk food remind home last night littl home sick love time year michigan,4.55,2.2,3.3,3.9,3.65,0.2263
think go start book club girlfriendsani peach interst mind good excus sit around drink wine mayb talk book minut,4.55,2.2,3.3,3.9,3.65,0.4404
keep remind myselfon week vacat one week vacat,4.55,2.2,3.3,3.9,3.65,0.0
propnam cannot crush shoe,4.55,2.2,3.3,3.9,3.65,0.1139
hobbit get flash forward show crazi,4.55,2.2,3.3,3.9,3.65,0.0
cannot believ celibr go pizza pizza bowl,4.55,2.2,3.3,3.9,3.65,0.0
much love twlight team taylor extreem take kid see tonight still elementari school school tomorrow guess take kid period attack sexual stuff,4.55,2.2,3.3,3.9,3.65,0.2732
mouth alway get troubl,4.55,2.2,3.3,3.9,3.65,0.0
hope week kick butti dont think take,4.55,2.2,3.3,3.9,3.65,0.4404
wowi watch basebal yearth twin play realli wellcrap,4.55,2.2,3.3,3.9,3.65,0.34
glee badher question diva go tell ladi propnam go find propnam father,4.55,2.2,3.3,3.9,3.65,0.6369
rest peac uga bulldog world colleg mascot morn today,4.55,2.2,3.3,3.9,3.65,0.0
mayb seisur seem ok today weird movement eat drink cagem act normali read onlin stroke common doesnt sound like bounc back quick,4.55,2.2,3.3,3.9,3.65,-0.1556
sinc becom center univers,4.55,2.2,3.3,3.9,3.65,0.0
dread glee week,4.55,2.2,3.3,3.9,3.65,0.296
cover shame dark former sister becam fan michigan footbal go famili matterthat make former sibl walmart wolveriney went see loyalti lie need kidney piec livergo nittani lion,4.55,2.2,3.3,3.9,3.65,-0.2023
rain gotten today fact flat iron diedbad hair crankyat least look forward glee tonight,4.55,2.2,3.3,3.9,3.65,0.6369
well didnt see come,4.55,2.2,3.3,3.9,3.65,0.2732
put togeth coverlett resumei think think think,4.55,2.2,3.3,3.9,3.65,0.0
doesnt kill make stronger,4.55,2.2,3.3,3.9,3.65,0.3724
day look abl exchang defect flat iron realiz new moon come home thanksgiv bodi want go see still look forward gleei feel littl dirti think propnam hot,4.55,2.2,3.3,3.9,3.65,-0.2732
christma card take one send address recov american soldier co propnam armi medic center 6900 georgia avenu nw washington dc 20307 pass think mani card wonder special peopl would get pass friend copi past wall,4.55,2.2,3.3,3.9,3.65,0.7096
metal block begin mini breakdown feel someth come oneveryth start back,4.55,2.2,3.3,3.9,3.65,-0.4404
kinda wish snowingjust night abl enjoy cup coffe vanish,4.55,2.2,3.3,3.9,3.65,0.6815
hate say propnam tonight actual pretti goodhav hard time chose propnam late,4.55,2.2,3.3,3.9,3.65,-0.6249
ticket saturday spartan wallop propnam mail tomorrowdo anyon want go see u2,4.55,2.2,3.3,3.9,3.65,0.0772
let go spartan let go,4.55,2.2,3.3,3.9,3.65,0.0
time mag name decad worst sinc wwii thought realli enough decad sinc wwii abl clearli desern one worst grant last ten year realli kinda suck far nation tragitybut need call worst sinc wwii,4.55,2.2,3.3,3.9,3.65,-0.9247
today suckpropnam came home 40 mega roll one pli toilet paperi go use prison tp least easter,4.55,2.2,3.3,3.9,3.65,-0.5106
wow realli funki idea propnam fire knew like go last season hardli ever miss stuff like,4.55,2.2,3.3,3.9,3.65,0.7003
peopl new jersey proud new jersey,4.55,2.2,3.3,3.9,3.65,0.4767
watch propnam real life work christma card realizedpropnam propnam cop pull propnam cruiser back way better look without hair,4.55,2.2,3.3,3.9,3.65,0.4404
got someth eye rub look like got punch faceeveryon make domest violenc joke parti,4.55,2.2,3.3,3.9,3.65,0.5719
happen tonighti fight club,4.55,2.2,3.3,3.9,3.65,-0.3818
funk todayi dont know depress mayb lack motiv depress process impati,4.55,2.2,3.3,3.9,3.65,0.4508
thank god facebook everyon would name misspel thier card,4.55,2.2,3.3,3.9,3.65,0.5574
thanksgiv utopia last whole hournew record,4.55,2.2,3.3,3.9,3.65,0.0
good get hous littl even better see girl,4.55,2.2,3.3,3.9,3.65,0.7003
appl casserol herb pork loin smell good,4.55,2.2,3.3,3.9,3.65,0.4404
today facebook staff allow eat children pet turn option go set privaci meal click top two box prevent employe facebook eat belov children pet copi statu warn friend,4.55,2.2,3.3,3.9,3.65,0.6808
today thank abl michigan famili also thank famili michigan atlanta thank everyon love healthi today,4.55,2.2,3.3,3.9,3.65,0.8934
much tomorrowi actual littl overwhelm,4.55,2.2,3.3,3.9,3.65,-0.1779
errand,4.55,2.2,3.3,3.9,3.65,0.0
readi get back real life,4.55,2.2,3.3,3.9,3.65,0.0
water plant clean gerbil cage laundri wash dish start pack pick shoe cobbler,4.55,2.2,3.3,3.9,3.65,0.4019
first day winter bad atlanta,4.55,2.2,3.3,3.9,3.65,-0.5423
dear babi jesu pleas compel boyfriend get ass packw leav tomorrow 5 go home celibr birthand realli dont want kill drive mustang snow rosi mint condit salt discolor top thank much,4.55,2.2,3.3,3.9,3.65,0.711
river wood boosha hous go,4.55,2.2,3.3,3.9,3.65,0.0
bake pumpkin bread pumkin pie make stuf,4.55,2.2,3.3,3.9,3.65,0.0
soi never got facin farmvil built zootot addict zooworld let know send gift,4.55,2.2,3.3,3.9,3.65,0.4404
guito jersey shore call self situt tri trademerk,4.55,2.2,3.3,3.9,3.65,0.0
go bowl game thought msu lose 20 thier player badnow texa tech coach scandl go toss kid closetwould chose one whose dad tv everynight bad call dude,4.55,2.2,3.3,3.9,3.65,-0.7351
snow atlanta grind halt snow flurryso glad home care drive crazi peopl,4.55,2.2,3.3,3.9,3.65,0.7351
oye tiredsometim wish could spend time enjoy less time prepar time year,4.55,2.2,3.3,3.9,3.65,0.7096
excitedgo big gamehead homego see dogi cant sleep,4.55,2.2,3.3,3.9,3.65,0.0
mayb go home ground mei feel much better,4.55,2.2,3.3,3.9,3.65,0.4404
feel much better today head coach texa tech fire even go fair game mayb consid mani player stupid,4.55,2.2,3.3,3.9,3.65,-0.1531
feel like death warm,4.55,2.2,3.3,3.9,3.65,-0.128
snow predict go home cant wait,4.55,2.2,3.3,3.9,3.65,0.0
get readi come home christma,4.55,2.2,3.3,3.9,3.65,0.0
well year better last,4.55,2.2,3.3,3.9,3.65,0.6124
drop resum todayi feel good mojo,4.55,2.2,3.3,3.9,3.65,0.2023
well think flu basic imposs tell swine flu,4.55,2.2,3.3,3.9,3.65,-0.4767
good job ballersit footbal team go green go white go state,4.55,2.2,3.3,3.9,3.65,0.4404
oh propnam realli sick even made chicken soup yesterday still run fever,4.55,2.2,3.3,3.9,3.65,-0.5106
well big ten look awsom bowl far buck kitten gave great showhop msu follow suit,4.55,2.2,3.3,3.9,3.65,0.7351
propnam fli chicago tonighti miss guy,4.55,2.2,3.3,3.9,3.65,-0.1531
propnam sickand realiz jerk sick,4.55,2.2,3.3,3.9,3.65,-0.6908
grinch grinchfeet ice cold snow stood puzzl puzzl could came without ribbon came without tag came without packag box bag puzzl puzzl till puzzler sore grinch thought someth hadnt christma thought doesnt come store christma perhap mean littl bit,4.55,2.2,3.3,3.9,3.65,-0.3612
great game night familyw often homenext time drink,4.55,2.2,3.3,3.9,3.65,0.6249
go emmiss test want get way today seem like good day also run errand,4.55,2.2,3.3,3.9,3.65,0.6908
suppost wensday night damn foxno glee april,4.55,2.2,3.3,3.9,3.65,0.3612
keep finger cross propnam kept germ,4.55,2.2,3.3,3.9,3.65,0.0
three flake school close tomorrow weak,4.55,2.2,3.3,3.9,3.65,-0.4404
apperantli road bad atlantab care guy,4.55,2.2,3.3,3.9,3.65,-0.0772
propnam new hair news,4.55,2.2,3.3,3.9,3.65,0.0
snow advisori atlanta today tomorrowgood thing bead milk meat hous,4.55,2.2,3.3,3.9,3.65,0.0
murder mittenit cold also happi 11th birthday max matter old get still whini pain ass puppi,4.55,2.2,3.3,3.9,3.65,-0.9081
feel strang homesick think birthdayi havent good one sinc collegemayb stop tri make special,4.55,2.2,3.3,3.9,3.65,-0.383
head back atlanta,4.55,2.2,3.3,3.9,3.65,0.0
dang atlanta need someher go nye come hous food drink almost guest sick sick kid,4.55,2.2,3.3,3.9,3.65,-0.7222
meet everyon play game copi past phrase profil find amus rememb met know friend answer thank cant wait hear,4.55,2.2,3.3,3.9,3.65,0.7964
anoth day,4.55,2.2,3.3,3.9,3.65,0.0
woo hoo friday,4.55,2.2,3.3,3.9,3.65,0.4767
noth like basketbal win lift spirit,4.55,2.2,3.3,3.9,3.65,0.7906
ted nugent touch scari may interst choic michigan polit,4.55,2.2,3.3,3.9,3.65,0.0
make propnam special quitter watch propnam,4.55,2.2,3.3,3.9,3.65,0.4019
devist haiti heartbreak cannot imagin start run food water without sewer system go hell climatei realli hope violenc resourc exahust,4.55,2.2,3.3,3.9,3.65,-0.7506
dang nd,4.55,2.2,3.3,3.9,3.65,0.0
hope allergi cold,4.55,2.2,3.3,3.9,3.65,0.4404
think one gerbil strokepoor littl guy put food water next perk littl still move weird fall,4.55,2.2,3.3,3.9,3.65,-0.1779
big green white doubl header first baller start beat northwestern like ladi slap around sad wolverin yesterdaythen watch msu footbal team wallop texa tech great day bleed green go spartan,4.55,2.2,3.3,3.9,3.65,0.6249
three peopl know eachoth pant ground updat miss someth,4.55,2.2,3.3,3.9,3.65,-0.1531
found tag paperwork man denhop get tag 21 appli onlin,4.55,2.2,3.3,3.9,3.65,0.0
love mom arent proud say thank mom help great person today pleas copi past profil expect see mani time page,4.55,2.2,3.3,3.9,3.65,0.8093
well wasnt bad wait see,4.55,2.2,3.3,3.9,3.65,0.6059
elcom unit state america press 1 english press 2 disconnect learn speak english rememb two defin forc ever offer die jesu christ american solid one die soul freedom agre copi past statu,4.55,2.2,3.3,3.9,3.65,-0.4588
thankyou everyon bithday wish made feel trueli special,4.55,2.2,3.3,3.9,3.65,0.6597
anyon els realiz propnam look like situat glad trashi show almost,4.55,2.2,3.3,3.9,3.65,0.6705
take much need mental health day,4.55,2.2,3.3,3.9,3.65,0.0
receiv aarp card mailnot sure think,4.55,2.2,3.3,3.9,3.65,0.3182
watch basketbal give heartburn,4.55,2.2,3.3,3.9,3.65,0.0
let go state 80 babi,4.55,2.2,3.3,3.9,3.65,0.0
tri sit pay birthday tax today cannot find paper worki know somewher,4.55,2.2,3.3,3.9,3.65,-0.1027
black,4.55,2.2,3.3,3.9,3.65,0.0
propnam go deal ticketi dont know check need bail,4.55,2.2,3.3,3.9,3.65,0.0
anyon els notic dolphin helmet miami dolphin logo look like ride short bu,4.55,2.2,3.3,3.9,3.65,0.3612
varieti report cast jersey shore come back second season make 10000 per episod guess make hundr per episod alot tan hair product tini top,4.55,2.2,3.3,3.9,3.65,0.2023
realli realli hope peopl dont start use postit reason loyal grey get stupid,4.55,2.2,3.3,3.9,3.65,0.4215
reunit cat owner todayfeel nice sure tell denni cat condo,4.55,2.2,3.3,3.9,3.65,0.6249
dishwash repair guy come tomorrow hope phone work deliv tomorrow well big day ahead,4.55,2.2,3.3,3.9,3.65,0.6124
propnam nom predictedpropnam saw furri shadow weather man said el ninoi team rodent,4.55,2.2,3.3,3.9,3.65,0.0
make sad see propnam ice,4.55,2.2,3.3,3.9,3.65,-0.4767
phone stop work call person call cannot hear,4.55,2.2,3.3,3.9,3.65,-0.296
full hous home market 4 mil wonder fetur show increas valu,4.55,2.2,3.3,3.9,3.65,0.0
get readi watch game,4.55,2.2,3.3,3.9,3.65,0.0
facebook look sameam miss someth,4.55,2.2,3.3,3.9,3.65,-0.1531
propnam mix week old coucou new coucou cannot understand eat,4.55,2.2,3.3,3.9,3.65,0.0
thank everyon abl come birthday dinner sincer appolog guy thought tapa bar topless bar,4.55,2.2,3.3,3.9,3.65,0.3612
hell ya 20 minut commut,4.55,2.2,3.3,3.9,3.65,-0.6808
littl chilli,4.55,2.2,3.3,3.9,3.65,0.0
well goe noth get readi first day,4.55,2.2,3.3,3.9,3.65,0.2732
old spartan,4.55,2.2,3.3,3.9,3.65,0.0
big game tonightperfect big ten record linego green,4.55,2.2,3.3,3.9,3.65,0.0
damn oldsit snuggi watch telathon,4.55,2.2,3.3,3.9,3.65,-0.4019
go againluckli work school may close chanc snow,4.55,2.2,3.3,3.9,3.65,0.0
poor littl wolverinesat rate nit goal look sad littl glum face,4.55,2.2,3.3,3.9,3.65,-0.8519
doppelgang week chang profil pictur someon famou told resembl actor singer athlet etci told multipl peopl look like propnam guess could wors,4.55,2.2,3.3,3.9,3.65,0.3612
dome light go drive actual reasch problem sent propnam spray crap door latch wd40i cannot believ forum look car stuff,4.55,2.2,3.3,3.9,3.65,-0.6486
well dont root colt pretti sure propnam never talk need trivia sport question go colt,4.55,2.2,3.3,3.9,3.65,0.5267
nan,4.55,2.2,3.3,3.9,3.65,0.0
ga station doughnut equal paczki almot cri litl,4.55,2.2,3.3,3.9,3.65,0.0
happi st valentin day,4.55,2.2,3.3,3.9,3.65,0.0
bake cherri pie scratch,2.1,3.0,3.9,4.15,4.8,0.0
found scorpiu,2.1,3.0,3.9,4.15,4.8,0.0
still recov shock see 7th grade scienc teacher certain bar,2.1,3.0,3.9,4.15,4.8,-0.128
enjoy read propnam facebook statu updat,2.1,3.0,3.9,4.15,4.8,0.4939
learn wikipedia gropecunt lane somewhat abash,2.1,3.0,3.9,4.15,4.8,0.0
excit abl spot summer triangl confus bermuda triangl,2.1,3.0,3.9,4.15,4.8,0.0
excit make chocol mouss tort,2.1,3.0,3.9,4.15,4.8,0.0
addict mafia war thank propnam,2.1,3.0,3.9,4.15,4.8,-0.34
strawberri make everyth better,2.1,3.0,3.9,4.15,4.8,0.4404
mono fun,2.1,3.0,3.9,4.15,4.8,0.5106
look forward propnam tonight,2.1,3.0,3.9,4.15,4.8,0.0
quickli learn make french dish prepar pour whole bottl wine sauc lol,2.1,3.0,3.9,4.15,4.8,0.4215
3 hous pie,2.1,3.0,3.9,4.15,4.8,0.0
happi nation come day,2.1,3.0,3.9,4.15,4.8,0.0
coq au vin recip call 2 full bottl wine go sauc gotta love french,2.1,3.0,3.9,4.15,4.8,0.6369
httpwwwyoutubecomwatchvrtppbhuenj4,2.1,3.0,3.9,4.15,4.8,0.0
made first bouquet garni today,2.1,3.0,3.9,4.15,4.8,0.0
undecid see fourth kind read ton horribl review,2.1,3.0,3.9,4.15,4.8,0.5267
gleek,2.1,3.0,3.9,4.15,4.8,0.0
magusap tayo sa tagalog,2.1,3.0,3.9,4.15,4.8,0.0
3 propnam,2.1,3.0,3.9,4.15,4.8,0.0
saw homeless guy side road hold sign said lie need beer pictur upload soon,2.1,3.0,3.9,4.15,4.8,0.0
snow houston,2.1,3.0,3.9,4.15,4.8,0.0
disappoint ny legislatur vote legal gay marriag,2.1,3.0,3.9,4.15,4.8,-0.296
ice skate houston melt ice rainstil fun howev,2.1,3.0,3.9,4.15,4.8,0.5106
excit see nutcrack tomorrow,2.1,3.0,3.9,4.15,4.8,0.0
heartbreak watch love one deal progress parkinson diseas,2.1,3.0,3.9,4.15,4.8,0.5106
ive got yellow fever p,2.1,3.0,3.9,4.15,4.8,0.0
project snow 35 inch tomorrow houston,2.1,3.0,3.9,4.15,4.8,0.0
good friend pass away suddenli morn keep thought,2.1,3.0,3.9,4.15,4.8,0.7269
houston fourth largest citi us elect first openli gay mayor propnam,2.1,3.0,3.9,4.15,4.8,0.0
facebook think speak dutch,2.1,3.0,3.9,4.15,4.8,0.0
measur health well adjust profoundli sick societi propnam,2.1,3.0,3.9,4.15,4.8,-0.296
enjoy talk random peopl omeglecom,2.1,3.0,3.9,4.15,4.8,0.4939
enjoy look 110000 piano propnam yesterday,2.1,3.0,3.9,4.15,4.8,0.4939
hope everyon wonder thanksgiv,2.1,3.0,3.9,4.15,4.8,0.4404
saw avatar 3d awesom go see everyon,2.1,3.0,3.9,4.15,4.8,0.0
noth quit like go park see vultur munch gut squirrel turn look preced empti bowel loud squirt,2.1,3.0,3.9,4.15,4.8,0.3612
make tripl layer chocol mouss tort tomorrow,2.1,3.0,3.9,4.15,4.8,0.0
whole purpos religion facilit love compass patienc toler humil forgiv hh dalai lama,2.1,3.0,3.9,4.15,4.8,0.6369
note self never tri make candi cane hard sugar candi without least 2 peopl around immedi shape candi clean dish harden otherwis stuck everyth take repeat reheat scrape get,2.1,3.0,3.9,4.15,4.8,0.0772
merri christma everyon,2.1,3.0,3.9,4.15,4.8,0.0
mexico citi legal gay marriag adopt,2.1,3.0,3.9,4.15,4.8,0.296
sixth day god creat man seventh day man return favor,2.1,3.0,3.9,4.15,4.8,0.5859
happi new year,2.1,3.0,3.9,4.15,4.8,0.0
home alon tv,2.1,3.0,3.9,4.15,4.8,0.0
love compass necess luxuri without human cannot surviv dalai lama,2.1,3.0,3.9,4.15,4.8,0.6369
stop one heart break shall live vain eas one life ach cool one pain help one faint robin unto nest shall live vain propnam,2.1,3.0,3.9,4.15,4.8,-0.7269
cheesecak turn amaz almost fun eat make,2.1,3.0,3.9,4.15,4.8,0.4601
keep peopl haiti thought,2.1,3.0,3.9,4.15,4.8,0.0
memento trippi movi,2.1,3.0,3.9,4.15,4.8,0.0
look forward go hot air balloon discoveri green,2.1,3.0,3.9,4.15,4.8,0.0
starbuck caramel appl spice 3,2.1,3.0,3.9,4.15,4.8,0.0
watch movi save weekend love,2.1,3.0,3.9,4.15,4.8,0.8126
wish make appl pie truli scratch must first invent univers propnam,2.1,3.0,3.9,4.15,4.8,0.4019
sometim think surest sign intellig life exist elsewher univers none tri contact us propnam,2.1,3.0,3.9,4.15,4.8,0.3182
propnam cheesecak shake make happi,2.1,3.0,3.9,4.15,4.8,-0.1779
natur natur law lay hid night god said let propnam light propnam,2.1,3.0,3.9,4.15,4.8,0.1779
great birthday dinner carraba famili,2.1,3.0,3.9,4.15,4.8,0.6249
new favorit word weltanschauung,2.1,3.0,3.9,4.15,4.8,0.0
cage match nyquil versu summer cold one night victori,4.2,1.55,4.95,3.4,4.65,0.0
excit wilco show tomorrow,4.2,1.55,4.95,3.4,4.65,0.2263
would like thank everyon birthday wish death threat mean alot,4.2,1.55,4.95,3.4,4.65,-0.1531
better pay librari 360 man come hous,4.2,1.55,4.95,3.4,4.65,0.3612
frame roger rabbit,4.2,1.55,4.95,3.4,4.65,0.0
great victori cold,4.2,1.55,4.95,3.4,4.65,0.6249
almost 26,4.2,1.55,4.95,3.4,4.65,0.0
take friday train weekend town,4.2,1.55,4.95,3.4,4.65,0.0
surviv fair good time,4.2,1.55,4.95,3.4,4.65,0.6369
wilco bust yeehaw111,4.2,1.55,4.95,3.4,4.65,0.2263
prepar anoth day boil,4.2,1.55,4.95,3.4,4.65,0.0
enjoy taho sunshin,4.2,1.55,4.95,3.4,4.65,0.4939
dreamland,4.2,1.55,4.95,3.4,4.65,0.0
taho come,4.2,1.55,4.95,3.4,4.65,0.0
great weekend thank everyon show terribl tshirt parti,4.2,1.55,4.95,3.4,4.65,0.765
gi jooooooooooooooooooooooooooooooooooooooe,4.2,1.55,4.95,3.4,4.65,0.0
spice exist us,4.2,1.55,4.95,3.4,4.65,0.0
convinc work caus gradual increas brain damag point 500pm unabl form complet sentenc recogn face,4.2,1.55,4.95,3.4,4.65,0.0
king pop dead,4.2,1.55,4.95,3.4,4.65,-0.6486
laker rais 5th power,4.2,1.55,4.95,3.4,4.65,0.0
happi 4th juli peopl,4.2,1.55,4.95,3.4,4.65,0.0
sacrifici furnitur pit side hous anyon want dresser couch portabl ac unit stop palac petaluma,4.2,1.55,4.95,3.4,4.65,-0.2263
play real life tetri move box,4.2,1.55,4.95,3.4,4.65,0.34
moverama part 5 intrepid hero beset side tragedi mover back truck car courag cast live see novato new live quarter marin counti home destitut illath,4.2,1.55,4.95,3.4,4.65,0.5574
