STATUS,sEXT,sNEU,sAGR,sCON,sOPN
back left coast,3.35,2.3,4.1,2.4,4.5
get play asian nanni today,3.35,2.3,4.1,2.4,4.5
jai ne sai pa,3.35,2.3,4.1,2.4,4.5
need sleepin baltimor,3.35,2.3,4.1,2.4,4.5
love lincoln memorial3,3.35,2.3,4.1,2.4,4.5
look old travel picturesuh oh,3.35,2.3,4.1,2.4,4.5
reevaluatingagain,3.35,2.3,4.1,2.4,4.5
cook chicken adobo tonight,3.35,2.3,4.1,2.4,4.5
want join circu pack parachut,3.35,2.3,4.1,2.4,4.5
anyon want subleas pretti north beach studio spend rest life travel,3.35,2.3,4.1,2.4,4.5
bang,3.35,2.3,4.1,2.4,4.5
landlord brought someon work apart total recogn place tvlol guess that 15 minutes3,3.35,2.3,4.1,2.4,4.5
might trade bastil day celebr nice quiet night apartmentif anyon want hang tonight let know,3.35,2.3,4.1,2.4,4.5
would rather mani dream reach half enough dream reach,3.35,2.3,4.1,2.4,4.5
wonder better idea stay home celebr hemingway birthday free absinth drink sinc think im get sick,3.35,2.3,4.1,2.4,4.5
camino de santiago mind againth effect receiv email spaniard friend,3.35,2.3,4.1,2.4,4.5
sucker academ,3.35,2.3,4.1,2.4,4.5
sad wood furnitur make class fullsmal busi voic either begin principl fashion design begin theatr,3.35,2.3,4.1,2.4,4.5
stupid tmobil commerci film sf todaytot remind much miss jump plane,3.35,2.3,4.1,2.4,4.5
want take trip tunisia egypt greec turkey lebanon israel jordan bhutan kazakhstan xinjiang china mongolia end shanghai see old friend mayb throw hainan beachi funok magic travel fairi,3.35,2.3,4.1,2.4,4.5
il est difficl de vaincr se passion et imposs de le satisfair,3.35,2.3,4.1,2.4,4.5
becom sentiment work note novelif your friend __ must either gorgeou brilliant convers must say,3.35,2.3,4.1,2.4,4.5
realli want take french arab realli wont free time fall,3.35,2.3,4.1,2.4,4.5
propnam trade master none though oft time better master one,3.35,2.3,4.1,2.4,4.5
start feel like old self,3.35,2.3,4.1,2.4,4.5
3s unit frequent flyer mile salei enough mile fli anywher except australiahmm go,3.35,2.3,4.1,2.4,4.5
run like girl run fast thank jo p,3.35,2.3,4.1,2.4,4.5
think im addict buy chines stockstim look domest invest,3.35,2.3,4.1,2.4,4.5
kind like get earli get done morn would otherwis,3.35,2.3,4.1,2.4,4.5
turn actual allerg work,3.35,2.3,4.1,2.4,4.5
wonder go wrong,3.35,2.3,4.1,2.4,4.5
made vegan cayenn cupcak fill salt caramel sauc drizzl lavend icingfrom scratch,3.35,2.3,4.1,2.4,4.5
want watch propnam propnam minu propnam portionwhat way satisfi francophil foodi,3.35,2.3,4.1,2.4,4.5
excit newest movi adapt brave new world 3 propnam,3.35,2.3,4.1,2.4,4.5
à coeur vaillant rien dimposs,3.35,2.3,4.1,2.4,4.5
drunk thnak god summer friday work,3.35,2.3,4.1,2.4,4.5
wish profession kitchen play,3.35,2.3,4.1,2.4,4.5
wish someon els would take next profil pictur feel theyr look,3.35,2.3,4.1,2.4,4.5
mere want consid best best want consid one,3.35,2.3,4.1,2.4,4.5
wonder peopl retardedeith im feel bitchi today,3.35,2.3,4.1,2.4,4.5
ador watercolor pencil 3,3.35,2.3,4.1,2.4,4.5
wish spain would total siesta time,3.35,2.3,4.1,2.4,4.5
yummiest dinner hous 3,3.35,2.3,4.1,2.4,4.5
cant keep sunday like yesterday,3.35,2.3,4.1,2.4,4.5
cant wait tri commi,3.35,2.3,4.1,2.4,4.5
went 5 hour trek apart north beach along water front golden gate bridg marin back againneedless say im rest tonight,3.35,2.3,4.1,2.4,4.5
love life fun oh drama free,3.35,2.3,4.1,2.4,4.5
spent weekend look flat end buy three pair hot look heelsi realli realli tri time,3.35,2.3,4.1,2.4,4.5
wonder spain keep call,3.35,2.3,4.1,2.4,4.5
need new hobbi,3.35,2.3,4.1,2.4,4.5
love lunch carte415,3.35,2.3,4.1,2.4,4.5
nightmar badli made cupcak,3.35,2.3,4.1,2.4,4.5
what backhand complimentstwic one day call diamond rough,3.35,2.3,4.1,2.4,4.5
flatter,3.35,2.3,4.1,2.4,4.5
take brother statu con opposit pro make congress opposit progress,3.35,2.3,4.1,2.4,4.5
travel mind,3.35,2.3,4.1,2.4,4.5
alway love see propnam girl get feisti,3.35,2.3,4.1,2.4,4.5
dream last night open shop book last minut trip shanghai,3.35,2.3,4.1,2.4,4.5
book ticket new york octob 29th thru nov 3rd want join halloween nyc,3.35,2.3,4.1,2.4,4.5
want make dairi free treat lactos intoler friend,3.35,2.3,4.1,2.4,4.5
accept cupcak contest bombay elvi cupcakeoh,3.35,2.3,4.1,2.4,4.5
fun ran old colleg friend fashion design class,3.35,2.3,4.1,2.4,4.5
miss naivenow im jade wait someth excit,3.35,2.3,4.1,2.4,4.5
cant wait watch coco chanel,3.35,2.3,4.1,2.4,4.5
need chang,3.35,2.3,4.1,2.4,4.5
todayshould gone pastri school decid law school wasnt,3.35,2.3,4.1,2.4,4.5
wo ying gai zai xue zhong wen,3.35,2.3,4.1,2.4,4.5
cant sleep feel creativ,3.35,2.3,4.1,2.4,4.5
propnam race cure,3.35,2.3,4.1,2.4,4.5
want bake yummi treat write learn languag travel organ philanthrop event debat philosophi bottl winethat ideal life,3.35,2.3,4.1,2.4,4.5
tempt skip voic class today go home make udon soon tofu stew,3.35,2.3,4.1,2.4,4.5
wonder keep get convinc make cupcakesmak mini vegan version bombay elvi cupcak tri mini red velvet cream chees cabernet mix inil figur,3.35,2.3,4.1,2.4,4.5
matter long ive high school ill alway fall victim mission curs,3.35,2.3,4.1,2.4,4.5
surreal day saturday,3.35,2.3,4.1,2.4,4.5
realiz longer im made wait less want,3.35,2.3,4.1,2.4,4.5
wonder migrain sudden,3.35,2.3,4.1,2.4,4.5
made bombay elvi cupcakeschocol curri banana cupcak peanut butter frost chocol bacon cupcak,3.35,2.3,4.1,2.4,4.5
yummi food tomorrow instead voic classil probabl pay midterm recit come around,3.35,2.3,4.1,2.4,4.5
make thing happen,3.35,2.3,4.1,2.4,4.5
tri figur song sing final,3.35,2.3,4.1,2.4,4.5
use darken freckl brown eyelin high school,3.35,2.3,4.1,2.4,4.5
fickl,3.35,2.3,4.1,2.4,4.5
think trip shanghai long duelil shanghai grown sinc left,3.35,2.3,4.1,2.4,4.5
131 mile,3.35,2.3,4.1,2.4,4.5
absolut ador life,3.35,2.3,4.1,2.4,4.5
sometim dream come true finger cross,3.35,2.3,4.1,2.4,4.5
swim saunathat call cross train,3.35,2.3,4.1,2.4,4.5
think everyon goalsjust dont judg mine,3.35,2.3,4.1,2.4,4.5
bleed run shoe,3.35,2.3,4.1,2.4,4.5
ran hill work yoga juic made egg white spinach omelett pay billslov get much done work,3.35,2.3,4.1,2.4,4.5
3s love posit peopl life,3.35,2.3,4.1,2.4,4.5
run rain make red wine chees pair cupcak work busi outlin,3.35,2.3,4.1,2.4,4.5
wonder what caus recent insomnia,3.35,2.3,4.1,2.4,4.5
miss girl crushsh cool personifi,3.35,2.3,4.1,2.4,4.5
need keep remind one monthi need relax run tonight,3.35,2.3,4.1,2.4,4.5
tempt disappear mountain tibet,3.35,2.3,4.1,2.4,4.5
get super happi everi time hear favorit christma song,3.35,2.3,4.1,2.4,4.5
day,3.35,2.3,4.1,2.4,4.5
tri figur next travel planswher long etc,3.35,2.3,4.1,2.4,4.5
hope someon red dress borrow wednesday,3.35,2.3,4.1,2.4,4.5
baltimor thursday,3.35,2.3,4.1,2.4,4.5
good,3.35,2.3,4.1,2.4,4.5
creep outth owner new restaur offic offer lunch follow walgreen run errand,3.35,2.3,4.1,2.4,4.5
go miss coworkersdrink tomorrow 530 5a5 karaok tbd,3.35,2.3,4.1,2.4,4.5
excit convinc everyon offic go happi hour tonight,3.35,2.3,4.1,2.4,4.5
wonder cowork alway want drink run day,3.35,2.3,4.1,2.4,4.5
tuesday suckedbut wednesday anoth day,3.35,2.3,4.1,2.4,4.5
cowork make laugh soooooo much 3,3.35,2.3,4.1,2.4,4.5
3s friend,3.35,2.3,4.1,2.4,4.5
wonder boy never talk,3.35,2.3,4.1,2.4,4.5
switch back 510 phone number drop 415 send note dont number,3.35,2.3,4.1,2.4,4.5
get play asian nanni today,3.35,2.3,4.1,2.4,4.5
look forward weekend,3.35,2.3,4.1,2.4,4.5
must stop look map,3.35,2.3,4.1,2.4,4.5
kid run offic santa sing songsoh must close christma,3.35,2.3,4.1,2.4,4.5
cant sleep clown eat point anyon know refer,3.35,2.3,4.1,2.4,4.5
merri christma love,3.35,2.3,4.1,2.4,4.5
delam barat tang shode,3.35,2.3,4.1,2.4,4.5
finish last day workim go miss lil sf aol famili,3.35,2.3,4.1,2.4,4.5
tell ill forget show may rememb involv understand confuciu,3.35,2.3,4.1,2.4,4.5
start 2010 asianhong kong hair salon milk tea pop corn chickenlov,3.35,2.3,4.1,2.4,4.5
lunch star holiday parti upenn holiday parti churchkey holiday partyoh thursday kill,3.35,2.3,4.1,2.4,4.5
excit old fashion cocktail parti tonight time pull old fave vodka gimlet throw pearl channel propnam go short hair,3.35,2.3,4.1,2.4,4.5
need massag sleep,3.35,2.3,4.1,2.4,4.5
home cant relax yeti swear im busi work,3.35,2.3,4.1,2.4,4.5
run photo shoot play asian nanni,3.35,2.3,4.1,2.4,4.5
believ life consequ life believ,3.35,2.3,4.1,2.4,4.5
live,3.35,2.3,4.1,2.4,4.5
whole realli travel januari worst idea ever,3.35,2.3,4.1,2.4,4.5
open bottl cava want mimosa dinnernow realiz kind finish bottl myselfuh oh,3.35,2.3,4.1,2.4,4.5
traumat,3.35,2.3,4.1,2.4,4.5
take much shop drink go dinner hang outplay babi fli random citieshurri half marathon soon your get real travel,3.35,2.3,4.1,2.4,4.5
everyth go wrong dinner tonight end exactli need yet anoth job prospect even though wasnt look one,3.35,2.3,4.1,2.4,4.5
live die tomorrow learn live forev httpwwwtedcomtalksben_dunlap_talks_about_a_passionate_lifehtml,3.35,2.3,4.1,2.4,4.5
die littl bit insid turn overland trip istanbul cairo,3.35,2.3,4.1,2.4,4.5
ladi leisur,3.35,2.3,4.1,2.4,4.5
la critiqu est aisé mai lart est difficil,3.35,2.3,4.1,2.4,4.5
turn seri paid ad 944 motocross ad wont around februarylol nice ego boost,3.35,2.3,4.1,2.4,4.5
run ramenwhat awesom tuesday night,3.35,2.3,4.1,2.4,4.5
super stoke much closer get volunt one fave nonprofit sf,3.35,2.3,4.1,2.4,4.5
yay famili daybut even famili,3.35,2.3,4.1,2.4,4.5
come support haiti tonight either starlight room independ,3.35,2.3,4.1,2.4,4.5
rain tea jazzsound like perfect night write,3.35,2.3,4.1,2.4,4.5
enjoy funemploy fullest,3.35,2.3,4.1,2.4,4.5
realli sleep,3.35,2.3,4.1,2.4,4.5
wonder enough room passport tripdo enough time get page ad,3.35,2.3,4.1,2.4,4.5
ok either spend day dc 217 stay overnight la 216thought,3.35,2.3,4.1,2.4,4.5
cant wait see lectur come ted2010,3.35,2.3,4.1,2.4,4.5
dear lifey rocklov propnam dear propnamestop spend melov bank account,3.35,2.3,4.1,2.4,4.5
go urbandictionarycom look first name use search engin copi statu urban dictionari say name first comment,3.35,2.3,4.1,2.4,4.5
got past biggest hurdleth trip,3.35,2.3,4.1,2.4,4.5
love friend care drunk ass get home 3,3.35,2.3,4.1,2.4,4.5
wonder surround good peopl mean lose opportun understand neg,3.35,2.3,4.1,2.4,4.5
get nervou first half marathon tomorrow,3.35,2.3,4.1,2.4,4.5
alright dopplegang use get random onesbut think propnam one made sens,3.35,2.3,4.1,2.4,4.5
3s purpl tight movi night,3.35,2.3,4.1,2.4,4.5
daycest la vietomorrow anoth day,3.35,2.3,4.1,2.4,4.5
realli,3.35,2.3,4.1,2.4,4.5
dear sunday rock love propnam,3.35,2.3,4.1,2.4,4.5
earn anoth freckl two run propnam marathon today,3.35,2.3,4.1,2.4,4.5
questc quil,3.35,2.3,4.1,2.4,4.5
book rest flight hellllooooo adventur,3.35,2.3,4.1,2.4,4.5
your go get sick nowyou exactli one week recov,3.35,2.3,4.1,2.4,4.5
start wonder enjoy life much3 friend,3.35,2.3,4.1,2.4,4.5
propnam,3.35,2.3,4.1,2.4,4.5
watch ton disney movi instead get anyth doneon note aladdin still favorit term song 3 femal charact headstrong,3.35,2.3,4.1,2.4,4.5
pack pack packingtri fit everyth month long trip tini carryoncan,3.35,2.3,4.1,2.4,4.5
today relax bay tomorrow trip jordan petra dead sea,3.35,2.3,4.1,2.4,4.5
play catch fail miserablyhow come im alway busier im work,3.35,2.3,4.1,2.4,4.5
sometim cant believ life tomorrow im explor neighborhood north beach anyon want join breakfast mama washington squar park,3.35,2.3,4.1,2.4,4.5
see eye shine bright caus im side jet black hotel mirror,1.35,4.75,2.85,4.55,4.4
propnam swing danc equal epic xd,1.35,4.75,2.85,4.55,4.4
back,1.35,4.75,2.85,4.55,4.4
realli want kitten shall name propnam,1.35,4.75,2.85,4.55,4.4
sit outsid pennsylvania,1.35,4.75,2.85,4.55,4.4
kitten offici name propnam propnam,1.35,4.75,2.85,4.55,4.4
go back tennesse,1.35,4.75,2.85,4.55,4.4
back impact,1.35,4.75,2.85,4.55,4.4
obsess mapl stori p,1.35,4.75,2.85,4.55,4.4
rewrit part stori think accident delet,1.35,4.75,2.85,4.55,4.4
sad,1.35,4.75,2.85,4.55,4.4
draw propnam propnam,1.35,4.75,2.85,4.55,4.4
go pennsylvania tomorrow,1.35,4.75,2.85,4.55,4.4
got hair cut,1.35,4.75,2.85,4.55,4.4
want sim 3 xd,1.35,4.75,2.85,4.55,4.4
rearrang room drastic differ,1.35,4.75,2.85,4.55,4.4
boredd,1.35,4.75,2.85,4.55,4.4
goin colleg,1.35,4.75,2.85,4.55,4.4
first mission decod paramor,1.35,4.75,2.85,4.55,4.4
doin german homework,1.35,4.75,2.85,4.55,4.4
chemistryy soo hardd,1.35,4.75,2.85,4.55,4.4
go pool later,1.35,4.75,2.85,4.55,4.4
write psycholog essay,1.35,4.75,2.85,4.55,4.4
ew chemistri,1.35,4.75,2.85,4.55,4.4
done art noth special go anymor,1.35,4.75,2.85,4.55,4.4
better guess finish last psycholog essay,1.35,4.75,2.85,4.55,4.4
want cut hair,1.35,4.75,2.85,4.55,4.4
still finish homework algebra ii,1.35,4.75,2.85,4.55,4.4
go art class,1.35,4.75,2.85,4.55,4.4
write 50 page mark,1.35,4.75,2.85,4.55,4.4
want keyboard,1.35,4.75,2.85,4.55,4.4
german classs,1.35,4.75,2.85,4.55,4.4
sick also bore someon talk meee,1.35,4.75,2.85,4.55,4.4
start psycholog tomorrow,1.35,4.75,2.85,4.55,4.4
haha propnam awesom xd,1.35,4.75,2.85,4.55,4.4
play decod piano,1.35,4.75,2.85,4.55,4.4
aerob famili forc 5 epic,1.35,4.75,2.85,4.55,4.4
goin shop tomorrow mah friend,1.35,4.75,2.85,4.55,4.4
write essay,1.35,4.75,2.85,4.55,4.4
feel rather sickli,1.35,4.75,2.85,4.55,4.4
hahaha school,1.35,4.75,2.85,4.55,4.4
hate writer block,1.35,4.75,2.85,4.55,4.4
rearrang room much fun,1.35,4.75,2.85,4.55,4.4
mysteri retreat,1.35,4.75,2.85,4.55,4.4
blast screamo there one give hard time,1.35,4.75,2.85,4.55,4.4
go hope game night,1.35,4.75,2.85,4.55,4.4
bore,1.35,4.75,2.85,4.55,4.4
take psat,1.35,4.75,2.85,4.55,4.4
got charcoal christma,1.35,4.75,2.85,4.55,4.4
made cooki soldier,1.35,4.75,2.85,4.55,4.4
sit bed four cat ye awesom,1.35,4.75,2.85,4.55,4.4
73 pages15000 word continu narr almost readi anoth edit phase propnam propnam get complic stuff fun,1.35,4.75,2.85,4.55,4.4
17 nine day miss yesterday count,1.35,4.75,2.85,4.55,4.4
alreadi pack xd,1.35,4.75,2.85,4.55,4.4
german riddl fun fun p,1.35,4.75,2.85,4.55,4.4
merri christma,1.35,4.75,2.85,4.55,4.4
christma one day seventeen six day,1.35,4.75,2.85,4.55,4.4
seventeen three day,1.35,4.75,2.85,4.55,4.4
much,1.35,4.75,2.85,4.55,4.4
seventeen p,1.35,4.75,2.85,4.55,4.4
17 twelv day,1.35,4.75,2.85,4.55,4.4
two kitten girl propnam need help boy propnam propnam propnam propnam vote,1.35,4.75,2.85,4.55,4.4
beat sister arm wrestl,1.35,4.75,2.85,4.55,4.4
sad think kitti home bed alon xd poor kitti,1.35,4.75,2.85,4.55,4.4
drew bluebird draw seagul,1.35,4.75,2.85,4.55,4.4
pennsylvania p,1.35,4.75,2.85,4.55,4.4
masquerad,1.35,4.75,2.85,4.55,4.4
listen muse,1.35,4.75,2.85,4.55,4.4
cut hair short,1.35,4.75,2.85,4.55,4.4
grr school suck,1.35,4.75,2.85,4.55,4.4
play much dd muahaha,1.35,4.75,2.85,4.55,4.4
cdc latest report autism effect 1 110 children born day 1 70 boy put statu 1 hour know someon autism let children voic heard here 2010 increas awar research proactiv find answer,1.35,4.75,2.85,4.55,4.4
actress look like,1.35,4.75,2.85,4.55,4.4
longer tell day night moon glow eeri red could swear cover blood done becom peopl concern temporari pleasur world rather salvat convinc end rais head toward heaven take one last look moon star begin fall,1.35,4.75,2.85,4.55,4.4
sexi new laptop yay,3.15,3.6,3.4,2.2,4.25
chillin,3.15,3.6,3.4,2.2,4.25
mani us spend whole live run feel mistaken belief cannot bear pain alreadi born pain done feel beyond pain propnam,3.15,3.6,3.4,2.2,4.25
thank god woman final left friggin hous,3.15,3.6,3.4,2.2,4.25
nyu play sporkel yup colleg gonna fun,3.15,3.6,3.4,2.2,4.25
prom hour still readi aahhh,3.15,3.6,3.4,2.2,4.25
know kinda late gotz new phone needz yo number number iiiittt lol,3.15,3.6,3.4,2.2,4.25
graduat,3.15,3.6,3.4,2.2,4.25
want play tenni,3.15,3.6,3.4,2.2,4.25
prowl,3.15,3.6,3.4,2.2,4.25
anyon wanna watch ice age 3 tomorrow,3.15,3.6,3.4,2.2,4.25
stupid harri potter movi kept till 130 morn help fact wake 630am good guess worth,3.15,3.6,3.4,2.2,4.25
citi hang sweet loung watch peopl pass fight temptat becom one crowd,3.15,3.6,3.4,2.2,4.25
prom mad,3.15,3.6,3.4,2.2,4.25
hook bone,3.15,3.6,3.4,2.2,4.25
orient creep closer closer like birthday cake wheel,3.15,3.6,3.4,2.2,4.25
gonna citi week work new life church elmhurst littl kiddi yay,3.15,3.6,3.4,2.2,4.25
thing final,3.15,3.6,3.4,2.2,4.25
weinstein holla xd,3.15,3.6,3.4,2.2,4.25
citi weekend,3.15,3.6,3.4,2.2,4.25
gabriel iglesia xd,3.15,3.6,3.4,2.2,4.25
done workfor,3.15,3.6,3.4,2.2,4.25
stuck,3.15,3.6,3.4,2.2,4.25
lollipop,3.15,3.6,3.4,2.2,4.25
head cold rain help sniffl,3.15,3.6,3.4,2.2,4.25
awesom parti ye exceed expect,3.15,3.6,3.4,2.2,4.25
2 week left,3.15,3.6,3.4,2.2,4.25
still dont list textbook stupid bellmor mail take forev get xo,3.15,3.6,3.4,2.2,4.25
oh crazi prom,3.15,3.6,3.4,2.2,4.25
waffl,3.15,3.6,3.4,2.2,4.25
propnam awesomest show ive ever seen,3.15,3.6,3.4,2.2,4.25
offici settl weinstein hall rm 428 purpl monkey,3.15,3.6,3.4,2.2,4.25
tire eye burn soul keep yearn whisper good night,3.15,3.6,3.4,2.2,4.25
5 hour nap procrastin write essay that due tomorrow xd whatev gotz smexi posterz,3.15,3.6,3.4,2.2,4.25
boogabooogaboggaaa,3.15,3.6,3.4,2.2,4.25
final internet work 3 day without withdraw harsh lol,3.15,3.6,3.4,2.2,4.25
like high school im hw earli mornin im procrastin fb lol,3.15,3.6,3.4,2.2,4.25
mess assign one class alreadi earli colleg season fml stupid hw _,3.15,3.6,3.4,2.2,4.25
like fire 3,3.15,3.6,3.4,2.2,4.25
keep ball roll,3.15,3.6,3.4,2.2,4.25
finish rewatch v vendetta rock sox,3.15,3.6,3.4,2.2,4.25
casino night awesom snuggi lmao,3.15,3.6,3.4,2.2,4.25
go premier harri potter awesom cousin citi yay sri daniel,3.15,3.6,3.4,2.2,4.25
beach ball tonight xd,3.15,3.6,3.4,2.2,4.25
paper due 5 pm yet fb typic,3.15,3.6,3.4,2.2,4.25
great night friend ate awesom food watch stand comedian youtub funand im tire gnight everybodi,3.15,3.6,3.4,2.2,4.25
just want sleep studi write 2 larg paragraph yawn,3.15,3.6,3.4,2.2,4.25
lole new moon spoof xd,3.15,3.6,3.4,2.2,4.25
still write essay,3.15,3.6,3.4,2.2,4.25
stupid camera give hell agh,3.15,3.6,3.4,2.2,4.25
went appl pick hte weekend famili must return realiti work ass columbu day yay,3.15,3.6,3.4,2.2,4.25
tri math hw distract thing like shini button sweater shini like shini,3.15,3.6,3.4,2.2,4.25
fun also midterm physic next 7 hour good night peopl wish luck,3.15,3.6,3.4,2.2,4.25
fire drillll,3.15,3.6,3.4,2.2,4.25
nyu portait voic peopl amaz xd,3.15,3.6,3.4,2.2,4.25
goin tonight xd,3.15,3.6,3.4,2.2,4.25
never go home weekday ever wake 630am memori id rather keep past thank yawn,3.15,3.6,3.4,2.2,4.25
rain suck stupid wet,3.15,3.6,3.4,2.2,4.25
5 page essay readi set go,3.15,3.6,3.4,2.2,4.25
stupid laptop make whir sound mayb hit make better laptop die damn,3.15,3.6,3.4,2.2,4.25
gotz new shoe hooray,3.15,3.6,3.4,2.2,4.25
better way solv els die fustrat disintegr rage,3.15,3.6,3.4,2.2,4.25
treck wet discov class cancel,3.15,3.6,3.4,2.2,4.25
paper plastic,3.15,3.6,3.4,2.2,4.25
moop,3.15,3.6,3.4,2.2,4.25
set weekend ruin hope trip met visit spa qualiti time li smooth wrinkl disatr turn event meh,3.15,3.6,3.4,2.2,4.25
freeedddoommm well,3.15,3.6,3.4,2.2,4.25
finish one essay anoth fourpag essay go first 3 hour nap 3,3.15,3.6,3.4,2.2,4.25
joy freedom love god,3.15,3.6,3.4,2.2,4.25
didnt sleep til 6 cant feel toe,3.15,3.6,3.4,2.2,4.25
first snow nyc afijeljaldsfjasd xd,3.15,3.6,3.4,2.2,4.25
dickwad sat tabl next yeah insult korean behind back think wouldnt understand go back recess fuck cess pool fuck crawl dumb fuck love propnam,3.15,3.6,3.4,2.2,4.25
kimmel jam drink free coffe write 3 essay 10 tomorrow gonna die brain overload,3.15,3.6,3.4,2.2,4.25
didnt sleeptiredprob gonna walk traffic halfasleep best partim done friggin essay yet,3.15,3.6,3.4,2.2,4.25
watch hot fuzz proceed watch comedi central final chat drunk dude friend watch reno 911,3.15,3.6,3.4,2.2,4.25
mind fustrat fatigu oh life colleg student,3.15,3.6,3.4,2.2,4.25
wait vacat time roll around,3.15,3.6,3.4,2.2,4.25
think week colleg might kill,3.15,3.6,3.4,2.2,4.25
nat scienc final coupl hour studi sleep argh stupid test,3.15,3.6,3.4,2.2,4.25
parti sandra sweet 16 cant wait,3.15,3.6,3.4,2.2,4.25
wonder even nyu bad idea expens bad idea,3.15,3.6,3.4,2.2,4.25
galleri,3.15,3.6,3.4,2.2,4.25
booga booga booga lol love courag,3.15,3.6,3.4,2.2,4.25
chillin,3.15,3.6,3.4,2.2,4.25
go shop colleg stuff wooo,3.15,3.6,3.4,2.2,4.25
hope leav safe trip lurvli thanksgiv break coupl hour go xd,3.15,3.6,3.4,2.2,4.25
tri write final paper librari work argh,3.15,3.6,3.4,2.2,4.25
head home yea bitch let winter game begin finish conwest final paper ugh,3.15,3.6,3.4,2.2,4.25
ughtiredhwessayreadingblurghhl,3.15,3.6,3.4,2.2,4.25
retreat coupl hour nervou meh,3.15,3.6,3.4,2.2,4.25
haul stuff move nyu sever hour,3.15,3.6,3.4,2.2,4.25
snow snow love xd get class gonna interest,3.15,3.6,3.4,2.2,4.25
first dont succeed find loser get anyth propnam,3.15,3.6,3.4,2.2,4.25
cold outsid hot cocoa anyon,3.15,3.6,3.4,2.2,4.25
rofl im use physic regent tabl colleg physic hw oh ironi,3.15,3.6,3.4,2.2,4.25
tiredit might snow tonight,3.15,3.6,3.4,2.2,4.25
great time friend met new peopl experienc one hell night,3.15,3.6,3.4,2.2,4.25
random reign suprem,3.15,3.6,3.4,2.2,4.25
snow snow ahh snow oh year younger would spend day cup hot chocol pummel babi brother snow,3.15,3.6,3.4,2.2,4.25
lovin neighbor know name propnam lovin thumpin heart feet pound danc floor long babi,3.15,3.6,3.4,2.2,4.25
school close biatch,3.15,3.6,3.4,2.2,4.25
opu 10 1 10 year make im happi final abl play arpeggio speed without feel like arm fall first phrase,2.45,3.15,3.05,4.1,4.55
done first real summer break year,2.45,3.15,3.05,4.1,4.55
detox water fast,2.45,3.15,3.05,4.1,4.55
vacat 2 week learn statist haha,2.45,3.15,3.05,4.1,4.55
watch whole bunch queer movi youtub love,2.45,3.15,3.05,4.1,4.55
realli miss drier trader joe whole food,2.45,3.15,3.05,4.1,4.55
day 1 trip plan bought nice travel guid,2.45,3.15,3.05,4.1,4.55
back polonais fantasi 4 page done miser rate piec readi decad,2.45,3.15,3.05,4.1,4.55
frisco day,2.45,3.15,3.05,4.1,4.55
marin pound bulgogi would need grill pretti good anyway want tri,2.45,3.15,3.05,4.1,4.55
die first vietnames food year could dream pho tonight,2.45,3.15,3.05,4.1,4.55
bye bye san jose,2.45,3.15,3.05,4.1,4.55
sad leav san jose,2.45,3.15,3.05,4.1,4.55
hook pb,2.45,3.15,3.05,4.1,4.55
realli like pbss ascent money,2.45,3.15,3.05,4.1,4.55
first day phd applic forgot challeng,2.45,3.15,3.05,4.1,4.55
gre sorrow,2.45,3.15,3.05,4.1,4.55
new woodi allen geniu,2.45,3.15,3.05,4.1,4.55
thesi saddlepoint model select matlab cant find saddl point your deep,2.45,3.15,3.05,4.1,4.55
high scarlatti chopin,2.45,3.15,3.05,4.1,4.55
done 5 app,2.45,3.15,3.05,4.1,4.55
bulgogi turn tasti congrat work oven roast beauti bird fun hear success stori merri christma,2.45,3.15,3.05,4.1,4.55
german bureaucraci annoy hell even side atlant,2.45,3.15,3.05,4.1,4.55
saw propnam wtc 1 cant wait partita march,2.45,3.15,3.05,4.1,4.55
look forward beethoven g major concerto tonight,2.45,3.15,3.05,4.1,4.55
never forget truth get better lie,4.1,1.78,3.3,4.3,4.7
go morphineinduc slumber,4.1,1.78,3.3,4.3,4.7
bargin north,4.1,1.78,3.3,4.3,4.7
broke forearm disloc shear elbow fractur 3 rib lacer spleen jump ledg san lorenzo river friday shell 2nd floor dominican hospit rm 2210 tuesday anyon want keep com,4.1,1.78,3.3,4.3,4.7
excit final get hospit tomorrow,4.1,1.78,3.3,4.3,4.7
final legit painkil hope metal arm stop hurt soon think im gonna watch entir seri entourag sinc still two day bed rest propnam help back health anyday,4.1,1.78,3.3,4.3,4.7
dont keep type evrytim sum1 ask slip cliff jump didnt clear rock shear ball joint left elbow disloc compound fractur compound fractur forearm 3 fractur rib lacer,4.1,1.78,3.3,4.3,4.7
get much better,4.1,1.78,3.3,4.3,4.7
new perspect crazi close came die friday im happi hospit parent hous come visit im bed rest till sunday low activ next 3 month,4.1,1.78,3.3,4.3,4.7
woke lot pain hit morphin button like 6 time pain total gone least subsid littl,4.1,1.78,3.3,4.3,4.7
bore santa cruz,4.1,1.78,3.3,4.3,4.7
spleen heal nice still cant feel fingertip left hand also wish nurs assist werent incompet one help toilet morn left never came back help back bed,4.1,1.78,3.3,4.3,4.7
got amaz rainbow tutu leg,4.1,1.78,3.3,4.3,4.7
sick hospit abl thing,4.1,1.78,3.3,4.3,4.7
take stork exit iv instead lo carnero exit weird,4.1,1.78,3.3,4.3,4.7
isla vista without phone,4.1,1.78,3.3,4.3,4.7
gettin readi regga,4.1,1.78,3.3,4.3,4.7
mmm strawberri rhubarb cobbler mmmm,4.1,1.78,3.3,4.3,4.7
